,tree_id,tree_dbh,health,steward,postcode,borough,cncldist,nta_name,nta,latitude,longitude
31852,197409,10,Fair,,10461,Bronx,13,Schuylerville-Throgs Neck-Edgewater Park,BX52,40.83832902,-73.8307639
31853,212792,13,Good,,11375,Queens,29,Forest Hills,QN17,40.70939738,-73.84824639
31854,222020,11,Good,,10024,Manhattan,6,Upper West Side,MN12,40.78197024,-73.97779852
31876,220159,8,Good,,11361,Queens,19,Bayside-Bayside Hills,QN46,40.75983332,-73.77626613
31877,213493,36,Good,,11105,Queens,22,Steinway,QN72,40.77663114,-73.91696618
31878,213508,35,Good,,11105,Queens,22,Steinway,QN72,40.77510036,-73.91884036
31880,235186,3,Good,,11215,Brooklyn,38,Sunset Park West,BK32,40.66121249,-73.9933091
31883,212454,15,Good,,10031,Manhattan,7,Hamilton Heights,MN04,40.8311936,-73.94693446
31885,211618,4,Fair,,10032,Manhattan,7,Washington Heights South,MN36,40.83812458,-73.94278969
31889,216150,6,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.7894411,-73.97895754
31891,209966,18,Good,1or2,10025,Manhattan,7,Morningside Heights,MN09,40.80690542,-73.96474625
31893,212406,13,Good,,10032,Manhattan,7,Hamilton Heights,MN04,40.83174995,-73.9465649
31898,233244,31,Good,,10461,Bronx,13,Pelham Parkway,BX49,40.85725486,-73.85186213
31902,225521,40,Good,,10466,Bronx,12,Woodlawn-Wakefield,BX62,40.89269204,-73.84487812
31903,233811,20,Good,,10312,Staten Island,51,Arden Heights,SI48,40.56062853,-74.17418238
31905,189089,13,Good,,11205,Brooklyn,35,Clinton Hill,BK69,40.69648016,-73.9674253
31906,212728,16,Good,,11360,Queens,19,Bayside-Bayside Hills,QN46,40.77478641,-73.77962508
31907,212826,5,Good,4orMore,10024,Manhattan,6,Upper West Side,MN12,40.78873901,-73.97808182
31915,224243,17,Good,,10466,Bronx,11,Woodlawn-Wakefield,BX62,40.89588617,-73.85269719
31916,231427,34,Good,,11422,Queens,31,Rosedale,QN05,40.67079389,-73.73250972
31917,205248,3,Fair,,11237,Brooklyn,37,Bushwick North,BK77,40.69754984,-73.91539328
31918,233174,29,Good,,11367,Queens,24,Kew Gardens Hills,QN37,40.72842881,-73.82480372
31920,210478,19,Good,,10306,Staten Island,50,New Dorp-Midland Beach,SI45,40.57235225,-74.09826604
31922,212611,18,Good,,10031,Manhattan,7,Hamilton Heights,MN04,40.82975401,-73.94802011
31923,233910,8,Good,,10467,Bronx,11,Norwood,BX43,40.8705257,-73.88008464
31924,215015,17,Good,,10466,Bronx,12,Woodlawn-Wakefield,BX62,40.89531993,-73.8456336
31926,201029,29,Good,,10470,Bronx,11,Woodlawn-Wakefield,BX62,40.90614208,-73.84838278
31928,228378,34,Good,,11364,Queens,23,Oakland Gardens,QN42,40.74502002,-73.75477934
31929,229571,10,Good,,11427,Queens,23,Bellerose,QN43,40.73052599,-73.73400203
31930,212734,30,Good,,11360,Queens,19,Bayside-Bayside Hills,QN46,40.7741888,-73.77941605
31939,166229,9,Good,,11214,Brooklyn,47,Bensonhurst East,BK29,40.596095,-73.98862339
31940,233813,11,Good,,10312,Staten Island,51,Arden Heights,SI48,40.56071724,-74.17350344
31941,212722,16,Good,,11360,Queens,19,Bayside-Bayside Hills,QN46,40.77552095,-73.77986968
31942,211421,5,Fair,,10306,Staten Island,50,Oakwood-Oakwood Beach,SI25,40.55936259,-74.11752934
31965,231565,33,Good,,11369,Queens,21,East Elmhurst,QN27,40.76835187,-73.87308208
31966,235124,13,Good,,11414,Queens,32,Lindenwood-Howard Beach,QN57,40.65627774,-73.83438305
32809,200793,22,Good,,11106,Queens,22,Astoria,QN70,40.76290945,-73.93078162
32810,180587,33,Good,,11375,Queens,29,Forest Hills,QN17,40.72521565,-73.83926882
32811,206677,25,Fair,,11101,Queens,26,Astoria,QN70,40.75483729,-73.92007555
32813,214097,37,Good,,11102,Queens,22,Steinway,QN72,40.77332539,-73.91989643
32841,212561,12,Good,,10031,Manhattan,7,Hamilton Heights,MN04,40.83041415,-73.94749599
33371,202676,25,Good,,10306,Staten Island,51,Oakwood-Oakwood Beach,SI25,40.55589451,-74.13475913
33372,206234,2,Good,1or2,10010,Manhattan,2,Gramercy,MN21,40.73737213,-73.98114661
33373,207588,6,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78383424,-73.97207688
33374,195563,26,Good,,11203,Brooklyn,45,Rugby-Remsen Village,BK96,40.64441839,-73.92782449
33375,190858,34,Good,,11415,Queens,29,Kew Gardens,QN60,40.71141988,-73.83076202
33376,207220,25,Good,,11211,Brooklyn,34,North Side-South Side,BK73,40.71439197,-73.95526521
33377,214040,38,Good,,11102,Queens,22,Steinway,QN72,40.77393372,-73.92025731
33378,207949,25,Good,,11373,Queens,25,Elmhurst,QN29,40.74112637,-73.87527871
33379,207395,13,Good,1or2,11372,Queens,25,Jackson Heights,QN28,40.74894603,-73.88908777
33381,207856,9,Good,,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.67216044,-73.97354457
33458,219983,5,Good,,11211,Brooklyn,34,East Williamsburg,BK90,40.71646591,-73.94020899
